0	unknown error
C5B	expression must have pointer type but it has type %t
C5C	operator -> or ->* applied to %t instead of to a pointer type
C5D	
C5E	cannot interpret bit layout for this compilation target
C5F	no corresponding operator for IFC operator %sq
C60	no corresponding calling convention for IFC calling convention %sq
C61	module %sq contains unsupported constructs
C62	unsupported IFC construct: %sq
C63	__is_signed is no longer a keyword from this point
C64	an array dimension must have a constant unsigned integer value
C65	
C66	modules are not enabled in this mode
C67	"import" is not allowed in a module name
C68	"module" is not allowed in a module name
C69	
C6A	
C6B	%n is not an enum type
C6C	enumerator %no2 conflicts with %n1
C6D	enumerator %no has already been declared in this scope %p
C6E	the "throw()" specification is not part of C++20 and later
C6F	more than entry in the header unit map matches "%s"
C70	#pragma diagnostic must have either 'push' or 'pop' argument
C71	no '#pragma diagnostic push' was found to match this 'diagnostic pop'
C72	%sq cannot be a macro when used in an import or module directive
C73	this directive can only appear in the global namespace scope
C74	an "export" declaration can appear only at global or namespace scope
C75	%sq is parsed as an identifier rather than a keyword because the tokens that follow it do not match those of a preprocessor directive
C76	this appears to be the start of a preprocessor directive, but the lack of a ';' followed immediately by a newline prevents that
C77	this appears to be a modules preprocessing directive, but such directives cannot appear within a macro expansion
C78	a "module" directive cannot appear within the scope of conditional inclusion (e.g., #if, #else, #elseif, etc.)
C79	the import of %sq has been skipped
C7A	promise type %t must declare get_return_object_on_allocation_failure as a static member function requiring no arguments
C7B	an alias template cannot be explicitly specialized
C7C	to match this "{"
C7D	in this macro invocation
C7E	call requires an ambiguous argument conversion
C7F	declaration owned by module %s conflicts with %nd
C80	declaration owned by global module conflicts with %nd owned by a named module
C81	the first argument to a "malloc" attribute must be a function
C82	cannot capture %nod
C83	cannot capture "this"
C84	already in consteval context
C85	"if consteval" and "if not consteval" require braced dependent statements
C86	"if consteval" and "if not consteval" are meaningless in a non-constexpr function
C87	transfer of control into an "if consteval" or "if not consteval" statement is not allowed
C88	constant-evaluation cannot go through the declaration of a variable with static or thread storage duration
C89	the mutable qualifier is not allowed on a lambda with an explicit "this" parameter
C8A	a member function declared with "static" cannot have an explicit "this" parameter
C8B	an explicit "this" parameter must be the first declared parameter
C8C	"this" is not allowed here
C8D	a comparison function with explicit "this" cannot be defaulted
C8E	an explicit "this" function requires a selector operand
C8F	"if consteval" and "if not consteval" are not standard in this mode
C90	omitting "()" in a lambda declarator is nonstandard in this mode
C91	a trailing-requires-clause is not permitted when the lambda parameter list is omitted
C92	module %sq invalid partition requested
C93	module %sq1 undefined partition (believed to be %sq2) requested
C94	
C95	
C96	module %sq1 file position %u1 (relative position %u2) requested for partition %sq2 - which overflows the end of its partition
C97	module %sq1 file position %u1 (relative position %u2) requested for partition %sq2 - which is misaligned with its partitions elements
C98	from subfield %sq (relative position to node %u)
C99	from partition %sq element %u1 (file position %u2, relative position %u3)
C9A	attributes on lambdas are a C++23 feature
C9B	identifier %sq could be confused with a visually-similar one appearing %p
C9C	this comment contains suspicious Unicode formatting control characters
C9D	this string contains Unicode formatting control characters that could result in unexpected runtime behavior
C9E	%d1 suppressed warning was encountered while processing module %sq1
C9F	%d1 suppressed warnings were encountered while processing module %sq1
CA0	%d1 suppressed error was encountered while processing module %sq1
CA1	%d1 suppressed errors were encountered while processing module %sq1
CA2	including
CA3	suppressed
CA4	a virtual member function cannot have an explicit "this" parameter
CA5	taking the address of an explicit "this" function requires a qualified name
CA6	forming the address of an explicit "this" function requires the "&" operator
CA7	a string literal cannot be used to initialize a flexible array member
CA8	The IFC representation of the definition of function %sq is invalid
CA9	
CAA	a UniLevel IFC chart wasn't used to specify parameters
CAB	%u1 parameters were specified by the IFC parameter definition chart while %u2 parameters were specified by the IFC declaration
CAC	%u1 parameter was specified by the IFC parameter definition chart while %u2 parameters were specified by the IFC declaration
CAD	%u1 parameters were specified by the IFC parameter definition chart while %u2 parameter was specified by the IFC declaration
CAE	The IFC representation of the definition of function %sq is missing
CAF	function modifier does not apply to member template declaration
CB0	member selection involves too many nested anonymous types
CB1	there is no common type between the operands
CB2	expected a pointer-to-member
CB3	a flexible array member cannot be declared in an otherwise-empty type
CB4	expected "std::source_location::__impl" to be defined to a class with only the data members "_M_function_name", "_M_file_name", "_M_column", "_M_line"
CB5	given column number is too large for "std::source_location" implementation
CB6	given line number is too large for "std::source_location" implementation
CB7	a UTF-16 character constant cannot occupy more than one code unit; value truncated
CB8	both arguments must have the same type
CB9	type %t is invalid as an argument for this builtin
CBA	called from %nd:
CBB	a qualified type is nonstandard for anonymous bit fields
CBC	the element type of the vector condition (%t1) must have the same size as the element type of the result (%t2)
CBD	the floating-point vector operand type (%t) has no matching integer vector type
CBE	mangling for "requires" expressions is not yet implemented
CBF	because of an "unavailable" attribute
CC0	duplicate 'asm' qualifier
CC1	either a bit field with an incomplete enum type or an opaque enumeration with an invalid base type
CC2	attempted to construct an element from IFC partition %sq using an index into IFC partition %sq2
CC3	the partition %sq specified its entry size as %u1 when %u2 was expected
CC4	an unexpected IFC requirement was encountered while processing module %sq1
CC5	condition failed at line %d in %s1: %sq2
CC6	atomic constraint depends on itself
CC7	"noreturn" function has non-void return type
CC8	a correction has been made by dropping the parameter %sq (at relative index %u)
CC9	a default template argument cannot be specified on the definition of a member template outside its class
CCA	invalid IFC identifier name %sq encountered during entity reconstruction
CCB	
CCC	module %sq invalid sort value
CCD	a function template loaded from an IFC module was incorrectly parsed as %nd
CCE	failed to load an IFC entity reference in module %sq
CCF	from partition %sq element %u1 (file position %u2, relative position %u3)
CD0	chained designators are not permitted for a class type with a nontrivial destructor
CD1	an explicit specialization declaration may not be a friend declaration
CD2	the std::float128_t type is not supported; std::float64_t will be used instead
CD3	
CD4	a deduction guide may not be declared for alias template %no
CD5	%n was declared declared unavailable
CD6	%n was declared unavailable (%sq)
CD7	because of a "deprecated" attribute
CD8	explicit lambda template parameters are a C++20 feature
CD9	the use of "_Noreturn" has been obsoleted in C23; use "[[noreturn]]" instead
CDA	the use of "_Alignof" has been obsoleted in C23; use "alignof" instead
CDB	the use of "_Alignas" has been obsoleted in C23; use "alignas" instead
CDC	the use of "_Bool" has been obsoleted in C23; use "bool" instead
CDD	the use of "_Static_assert" has been obsoleted in C23; use "static_assert" instead
CDE	the use of "_Thread_local" has been obsoleted in C23; use "thread_local" instead
CDF	Microsoft mode must be enabled to use the module file %sq (a Microsoft Visual Studio IFC module)
CE0	could not open module file %sq
CE1	found in the module map for module %sq
CE2	found in the header unit map for %sq
CE3	unrecognized output mode (must be one of text, sarif): %s
CE4	option "c23_typeof" can be used only when compiling C
CE5	invalid clang version number: %s
CE6	
CE7	
CE8	
CE9	cannot evaluate an initializer for a flexible array member
CEA	a default bit-field initializer is a C++20 feature
CEB	too many arguments in template argument list in module %sq
CEC	detected for the template argument represented by %sq element %u1 (file position %u2, relative position %u3)
CED	too few arguments in template argument list in module %sq
CEE	detected while processing the template argument list represented by %sq element %u1 (file position %u2, relative position %u3)
CEF	conversion from scoped enumeration type %t is nonstandard
CF0	deallocation does not match allocation kind (one is for an array and the other not)
CF1	comparison involves unknown address (e.g., the address of a weak variable)
CF2	__make_signed is only compatible with non-bool integer and enum types
CF3	__make_unsigned is only compatible with non-bool integer and enum types
CF4	the intrinsic name %sq will be treated as an ordinary identifier from here
CF5	access to uninitialized subobject at index %d
CF6	IFC line number (%u1) overflows maximum allowed value (%u2) module %sq
CF7	module %sq1 requested element %u of partition %sq2, this file position exceeds the maximum representable value
CF8	wrong number of arguments
CF9	constraint on candidate %n not satisfied
CFA	number of parameters of %n does not match the call
CFB	substituting explicit template arguments %T for %n failed
CFC	%n is an implicitly "= delete" move function and thus ignored during overload resolution
CFD	%n does not match because argument #%d is provided for an empty parameter pack
CFE	%n does not match because argument #%d does not match parameter
CFF	candidate %n failed deduction
D00	built-in operator%s does not match because argument #%d does not match parameter
D01	<integral>
D02	<promoted integral>
D03	<ptrdiff_t>
D04	<enum>
D05	<scoped enum>
D06	<arithmetic>
D07	<promoted arithmetic>
D08	<non-bool arithmetic>
D09	<pointer>
D0A	<nullptr>
D0B	<handle>
D0C	<handle to CLI array>
D0D	<pointer to object>
D0E	<pointer to function>
D0F	<pointer-to-member>
D10	<bool>
D11	<bool-like>
D12	<class>
D13	auto(<expr>) and auto{<expr>} are a C++23 feature
D14	invalid anonymous union -- using declaration is not allowed
D15	IFC file %sq cannot be processed
D16	IFC version %u1.%u2 is not supported
D17	IFC architecture %sq is incompatible with the current target architecture
D18	module %sq1 requests index %u of an unsupported partition corresponding to %sq2
D19	parameter number %d of %n has type %t which cannot be completed
D1A	parameter number %d of %n has incomplete type %t
D1B	parameter number %d of %n has abstract type %t
D1C	structured bindings are a C++17 feature
D1D	capturing structured bindings is a C++20 feature
D1E	operand of splicer has type %t instead of std::meta::info
D1F	operand (reflection for %r) is not the reflection of a type
D20	nonconstant operand of splicer
D21	use of %t instead of std::string_view (= std::basic_string_view<char>)
D22	std::string_view used here is inconsistent with use in other intrinsics
D23	definition of std::string_view does not match assumptions of reflection (no base classes and data members for pointer and length)
D24	reflection is not that of a constant value
D25	cannot make a zero-length array
D26	length (%d1) passed to make_constexpr_array is larger than number of elements available (%d2)
D27	definition of std::meta::infovec does not match assumptions of reflection (no base classes and data members for pointer, length, and capacity)
D28	bad reflection (%r) for expression splice
D29	%n has already been defined (previous definition %p)
D2A	infovec object not initialized
D2B	value_of type %t1 is not compatible with the given reflection (entity with type %t2)
D2C	reflecting an overload set is not currently permitted
D2D	this intrinsic requires a reflection for a template instance
D2E	incompatible types %t1 and %t2 for operator
D2F	invalid reflection for intrinsic metafunction
D30	intrinsic metafunction requires a reflection for a class member
D31	a class cannot not derive from a union
D32	cannot derive from a class with a flexible array member
D33	null reflection
D34	namespace alias
D35	reflection (details unavailable)
D36	bad reflection (%r) for template argument in std::meta::substitute
D37	call to std::meta::substitute (for %r) failed
D38	reflection value refers to inactive entity
D39	an expression splice must splice a constant value, a variable, or a function
D3A	a member access splice must splice a data member or a member function
D3B	member %nd is not a direct or indirect member of %t
D3C	the name %sq does not designate a known Unicode character
D3D	unterminated named Unicode character escape
D3E	character cannot appear in a Unicode name
D3F	empty named Unicode character escape
D40	expected a "[:"
D41	expected a ":]"
D42	a lambda expression cannot be both "mutable" and "static"
D43	a "static" lambda expression is nonstandard
D44	a "static" lambda expression must have an empty capture specification
D45	EDG IFC header unit
D46	EDG IFC
D47	a header unit could not be created for the current translation unit
D48	the current translation unit uses one or more features that cannot currently be written to a header unit
D49	'explicit(bool)' is a C++20 feature
D4A	first argument must be a pointer to integer, enum, or supported floating-point type
D4B	C++ modules cannot be used when compiling multiple translation units
D4C	C++ modules cannot be used with the pre-C++11 "export" feature
D4D	the IFC token %sq is not supported
D4E	the "pass_object_size" attribute is only valid on parameters of function declarations
D4F	the argument of the %sq attribute %d1 must be a value between 0 and %d2
D50	a ref-qualifier here is ignored
D51	invalid NEON vector element type %t
D52	invalid NEON polyvector element type %t
D53	invalid scalable vector element type %t
D54	invalid number of tuple elements for scalable vector type
D55	a NEON vector or polyvector must be either 64 or 128 bits wide
D56	sizeless type %t is not allowed
D57	an object of the sizeless type %t cannot be value-initialized
D58	unexpected null declaration index found as part of scope %u
D59	a module name must be specified for the module file map referencing the file %sq
D5A	a null index value was received where a node in the IFC partition %sq was expected
D5B	%nd cannot have type %t
D5C	a ref-qualifier is nonstandard in this mode
D5D	a range-based "for" statement is nonstandard in this mode
D5E	"auto" as a type specifier is nonstandard in this mode
D5F	could not import module file %sq due to file corruption
D60	IFC
D61	extraneous tokens injected after member declaration
D62	bad injection scope (%r)
D63	expected a value of type std::string_view but got %t
D64	extraneous tokens injected after statement
D65	extraneous tokens injected after declaration
D66	tuple index value (%d) overflow
D67	>> output from std::__report_tokens
D68	>> end output from std::__report_tokens
D69	not in a context with parameter variables
D6A	a delimited escape sequence must have at least one character
D6B	unterminated delimited escape sequence
D6C	constant contains address of a local variable
D6D	a structured binding cannot be declared "consteval"
D6E	%no conflicts with the imported declaration %nd
D6F	character cannot be represented in the specified character type
D70	an annotation cannot appear in the context of a "using" attribute prefix
D71	type %t of annotation is not a literal type
D72	the "ext_vector_type" attribute applies only to bool, integer, or floating-point types
D73	multiple designators into the same union are not permitted
D74	test message
D75	the version of Microsoft being emulated must be at least 1943 to use "--ms_c++23"
D76	__DATE__ macro is not of expected size (11)
D77	expected a pointer operand
D78	function %sq has already been defined
D79	invalid or no value specified with --nv_arch flag
D7A	
D7B	calling a __device__ function(%sq1) from a __host__ __device__ function(%sq2) is not allowed
D7C	calling a constexpr __device__ function(%sq1) from a __host__ __device__ function(%sq2) is not allowed. The experimental flag '--expt-relaxed-constexpr' can be used to allow this.
D7D	calling a __device__ function(%sq1) from a __host__ function(%sq2) is not allowed
D7E	calling a constexpr __device__ function(%sq1) from a __host__ function(%sq2) is not allowed. The experimental flag '--expt-relaxed-constexpr' can be used to allow this.
D7F	
D80	
D81	calling a __host__ function(%sq1) from a __host__ __device__ function(%sq2) is not allowed
D82	%s1 annotation is ignored on a function(%sq2) that is explicitly defaulted on its first declaration
D83	calling a constexpr __host__ function(%sq1) from a __host__ __device__ function(%sq2) is not allowed. The experimental flag '--expt-relaxed-constexpr' can be used to allow this.
D84	calling a __host__ function from a __host__ __device__ function is not allowed
D85	calling a constexpr __host__ function from a __host__ __device__ function is not allowed. The experimental flag '--expt-relaxed-constexpr' can be used to allow this.
D86	calling a __host__ function(%sq1) from a __device__ function(%sq2) is not allowed
D87	calling a constexpr __host__ function(%sq1) from a __device__ function(%sq2) is not allowed. The experimental flag '--expt-relaxed-constexpr' can be used to allow this.
D88	calling a __host__ function(%sq1) from a __global__ function(%sq2) is not allowed
D89	calling a constexpr __host__ function(%sq1) from a __global__ function(%sq2) is not allowed. The experimental flag '--expt-relaxed-constexpr' can be used to allow this.
D8A	
D8B	
D8C	
D8D	kernel launch from __device__ or __global__ functions requires separate compilation mode
D8E	illegal combination of memory qualifiers
D8F	memory qualifier on parameter is not allowed
D90	%s1 %sq2 variable declaration is not allowed inside a host function body
D91	%s1 %sq2 variable declaration is not allowed inside a device function body
D92	memory qualifier on data member is not allowed
D93	User-defined new and delete operators in the global namespace are not supported
D94	a __global__ function(%no1) redeclared without __global__
D95	a __global__ function(%no1) redeclared with __host__
D96	a __global__ function(%no1) redeclared with __device__
D97	a __global__ function(%no1) redeclared with __host__ __device__
D98	a __device__ function(%no1) redeclared with __global__
D99	a __device__ function(%no1) redeclared with __host__, hence treated as a __host__ __device__ function
D9A	a __device__ function(%no1) redeclared with __host__ __device__, hence treated as a __host__ __device__ function
D9B	a __device__ function(%no1) redeclared without __device__, hence treated as a __host__ __device__ function
D9C	a __host__ function(%no1) redeclared with __global__
D9D	a __host__ function(%no1) redeclared with __device__, hence treated as a __host__ __device__ function
D9E	a __host__ function(%no1) redeclared with __host__ __device__, hence treated as a __host__ __device__ function
D9F	a __host__ __device__ function(%no1) redeclared with __global__
DA0	a %s1 variable(%no1) redeclared with %s2
DA1	a %s variable(%no1) redeclared without %s
DA2	extern declaration of the entity %s is treated as a static definition
DA3	'%%' must be followed by a digit or escaped with another '%%' in asm declarations
DA4	a __global__ function cannot have ellipsis
DA5	__device__ or __host__ __device__ function with ellipsis requires compute_30 or higher architecture
DA6	a __global__ function must have a void return type
DA7	a __global__ function must not have a deduced return type
DA8	inline qualifier ignored for %sq function
DA9	a %s function call %s2 be configured
DAA	expected a ">>>"
DAB	initializer not allowed for %s variable %s2
DAC	dynamic initialization is not supported for a function-scope static %s variable within a __device__/__global__ function
DAD	function-scope static variable within a __device__/__global__ function requires a memory space specifier
DAE	__shared__ variables cannot have external linkage
DAF	incorrect value for launch bounds
DB0	the #pragma unroll must precede a loop
DB1	a microsoft style "asm" declaration is not allowed here
DB2	device code does not support exception handling
DB3	dynamic initialization is not supported for a %s variable
DB4	a __global__ function cannot have a parameter with __restrict__ qualified reference type
DB5	a __global__ function cannot have a parameter with rvalue reference type
DB6	cannot pass a parameter with a too large explicit alignment to a __global__ function on win32 platforms
DB7	device-side kernel launch could not be processed as the required runtime APIs are not declared
DB8	cannot pass an argument with a user-provided copy-constructor to a device-side kernel launch
DB9	cannot pass an argument with a user-provided destructor to a device-side kernel launch
DBA	identifier %sq is undefined in device code
DBB	cannot use an entity undefined in device code
DBC	identifier %sq is undefined
DBD	kernel launches from templates are not allowed in system files
DBE	an asm operand may specify only one constraint letter in a __device__/__global__ function
DBF	an asm operand must have scalar type
DC0	an asm operand must be an integral constant expression.
DC1	asm constraint letter '%s' is not allowed inside a __device__/__global__ function
DC2	asm operand type size(%s1) does not match type/size implied by constraint '%s2'
DC3	%s is only allowed on a __global__ function
DC4	%s is only allowed on a non-member function
DC5	cannot take address of builtin variable %sq
DC6	Variable type qualifier %sq is not allowed in "new" expressions
DC7	function main cannot be marked __device__ or __global__
DC8	address of label extension is not supported in __device__/__global__ functions
DC9	
DCA	Use of a virtual base (%t) requires the compute_20 or higher architecture
DCB	execution space mismatch: overridden entity (%n1) is a __host__ function, but overriding entity (%n2) is a __device__ function
DCC	execution space mismatch: overridden entity (%n1) is a __host__ function, but overriding entity (%n2) is a __host__ __device__ function
DCD	execution space mismatch: overridden entity (%n1) is a __device__ function, but overriding entity (%n2) is a __host__ __device__ function
DCE	execution space mismatch: overridden entity (%n1) is a __device__ function, but overriding entity (%n2) is a __host__ function
DCF	execution space mismatch: overridden entity (%n1) is a __host__ __device__ function, but overriding entity (%n2) is a __host__ function
DD0	execution space mismatch: overridden entity (%n1) is a __host__ __device__ function, but overriding entity (%n2) is a __device__ function
DD1	a %s1 %n1 cannot be directly read in a host function
DD2	a %s1 %n1 cannot be directly written in a host function
DD3	address of a %s1 %n1 cannot be directly taken in a host function
DD4	a host %n1 cannot be directly read in a device function
DD5	a host %n1 cannot be directly written in a device function
DD6	address of a host %n1 cannot be directly taken in a device function
DD7	cannot take address of texture/surface variable %sq in __device__/__global__ functions
DD8	cannot take address of texture/surface expression in __device__/__global__ functions
DD9	indirection not allowed for accessing texture/surface through variable %sq in __device__/__global__ functions
DDA	indirection not allowed for accessing texture/surface through expression in __device__/__global__ functions
DDB	a reference to texture/surface type cannot be used in __device__/__global__ functions
DDC	taking reference of texture/surface variable not allowed in __device__/__global__ functions
DDD	this attribute is not supported
DDE	member variables of an anonymous union at global or namespace scope cannot be directly accessed in __device__ and __global__ functions
DDF	module id
DE0	%t %s1 a %s2, which is not supported in device code
DE1	__managed__ variables require architecture compute_30 or higher
DE2	__managed__ variables are not yet supported for this configuration (compilation mode (32/64 bit) and/or target operating system)
DE3	a __managed__ variable cannot have a const qualified type
DE4	a __managed__ variable cannot have a reference type
DE5	__managed__ variables cannot be marked __shared__ or __constant__
DE6	ignoring attribute on enum value
DE7	cannot use thread_local specifier for a %s variable
DE8	cannot use thread_local specifier for variable declarations in device code
DE9	a __global__ function or function template cannot have a parameter with type std::initializer_list
DEA	Pack template parameter must be the last template parameter for a variadic __global__ function template
DEB	Multiple pack parameters are not allowed for a variadic __global__ function template
DEC	A __global__ function or function template cannot be marked constexpr
DED	A __managed__ variable cannot be used as an unparenthesized id-expression argument for decltype()
DEE	A %s variable cannot be marked constexpr
DEF	The %s specifier is not allowed for a structured binding declaration
DF0	A %s variable cannot be declared within an inline unnamed namespace
DF1	A texture or surface variable cannot be declared within an inline unnamed namespace
DF2	A __global__ function or function template cannot be declared within an inline unnamed namespace
DF3	The closure type for a lambda (%t%s) cannot be used in the template argument type of a __global__ function template instantiation, unless the lambda is defined within a __device__ or __global__ function, or the flag '-extended-lambda' is specified and the lambda is an extended lambda (a __device__ or __host__ __device__ lambda defined within a __host__ or __host__ __device__ function)
DF4	A type defined inside a __host__ function  (%t) cannot be used in the template argument type of a __global__ function template instantiation
DF5	A non-type template argument of a %s template cannot be of a pointer type or the std::nullptr_t type
DF6	A type that is defined inside a class and has private or protected access (%t) cannot be used in the template argument type of a __global__ function template instantiation, unless the class is local to a __device__ or __global__ function
DF7	An unnamed type (%t) cannot be used in the template argument type of a __global__ function template instantiation, unless the type is local to a __device__ or __global__ function
DF8	A template that is defined inside a class and has private or protected access cannot be used in the template template argument of a __global__ function template instantiation
DF9	A __global__ function or function template cannot have a parameter with va_list type
DFA	Could not determine parent function address from __parent() annotation
DFB	Cannot specify multiple __nv_parent directives in a lambda declaration
DFC	malformed __nv_parent annotation. Expected address of enclosing function
DFD	The enclosing parent function (%sq2) for an extended %s1 lambda must not be defined inside another function
DFE	An extended %s lambda cannot capture variables by reference
DFF	An extended %s lambda cannot capture an element of a parameter pack
E00	An extended %s lambda can only capture up to 1023 variables
E01	An extended %s lambda cannot init-capture variables with array type
E02	An extended %s lambda cannot capture an array variable (type: %t) with more than 7 dimensions
E03	An extended %s lambda cannot capture an array variable whose element type (%t) is not default constructible on the host
E04	An extended %s lambda cannot capture an array variable whose element type (%t) is not assignable on the host
E05	The enclosing parent function (%sq2) for an extended %s1 lambda must allow its address to be taken
E06	The enclosing parent function (%sq2) for an extended %s1 lambda cannot be a member function of a class that is unnamed
E07	On Windows, the enclosing parent function (%sq2) for an extended %s1 lambda cannot have internal or no linkage
E08	A type local to a function (%t) cannot be used in the type of a variable captured by an extended __device__ or __host__ __device__ lambda
E09	A type that is a private or protected class member (%t) cannot be used in the type of a variable captured by an extended __device__ or __host__ __device__ lambda
E0A	A template that is a private or protected class member cannot be used in the template argument of the enclosing parent function (and any parent classes) of an extended %s lambda
E0B	A type local to a function (%t) cannot be used in the template argument of the enclosing parent function (and any parent classes) of an extended __device__ or __host__ __device__ lambda
E0C	A type that is a private or protected class member (%t) cannot be used in the template argument of the enclosing parent function (and any parent classes) of an extended __device__ or __host__ __device__ lambda
E0D	The enclosing parent function (%sq2) for an extended %s1 lambda cannot have private or protected access within its class
E0E	An extended %s1 lambda cannot be defined inside a class (%sq2) with private or protected access within another class
E0F	A type local to a function (%t) cannot be used in the return or parameter types of the operator() of an extended __device__ or __host__ __device__ lambda
E10	A type that is a private or protected class member (%t) cannot be used in the return or parameter types of the operator() of an extended __device__ or __host__ __device__ lambda
E11	__host__ or __device__ annotation on lambda requires --extended-lambda nvcc flag
E12	The enclosing parent function (%sq2) for an extended %s1 lambda must not have deduced return type
E13	__host__ __device__ extended lambdas cannot be generic lambdas
E14	init-captures are not allowed for extended __host__ __device__ lambdas
E15	An extended %s lambda cannot have init-captures with type std::initializer_list
E16	If an extended %s lambda is defined within the body of one or more nested lambda expressions, each of these enclosing lambda expressions must be defined within the immediate or nested block scope of a function.
E17	An extended %s1 lambda cannot be defined inside a generic lambda expression(%sq2).
E18	An extended %s1 lambda cannot be defined inside an extended __host__ __device__  lambda expression(%sq2).
E19	The %s1 specifier is not allowed for an extended %s2 lambda
E1A	The operator() function for a lambda cannot be explicitly annotated with execution space annotations (__host__/__device__/__global__), the annotations are derived from its closure class
E1B	The cc clobber constraint is not supported in device code
E1C	A non-constexpr __device__ function (%sq1) with "auto" deduced return type cannot be directly referenced %s2, except if the reference is absent when __CUDA_ARCH__ is undefined
E1D	the unroll value does not fit in a integer, ignoring pragma for this loop
E1E	the unroll value cannot be zero or negative, ignoring pragma for this loop
E1F	the optional argument to the unroll pragma must be an integral constant expression, ignoring pragma for this loop
E20	extra characters in the unroll pragma (expected a single integral constant expression argument), ignoring pragma for this loop
E21	the #pragma nvopt must precede a loop
E22	the #pragma nvopt must have an argument, ignoring pragma for this loop
E23	the nvopt value does not fit in an integer, ignoring pragma for this loop
E24	the nvopt value cannot be negative, ignoring pragma for this loop
E25	the optional argument to the nvopt pragma must be an integral constant expression, ignoring pragma for this loop
E26	extra characters in the nvopt pragma (expected a single integral constant expression argument), ignoring pragma for this loop
E27	Unless enabled by language dialect, *this capture is only supported when the lambda is either __device__ only, or is defined within a __device__ or __global__ function
E28	Implicit capture of 'this' in extended lambda expression
E29	A texture or surface variable cannot be used in the non-type template argument of a __device__, __host__ __device__ or __global__ function template instantiation
E2A	The closure type for a lambda (%t%s) cannot be used in the template argument type of a variable template instantiation, unless the lambda is defined within a __device__ or __global__ function, or the lambda is an 'extended lambda' and the flag --extended-lambda is specified
E2B	A type defined inside a __host__ function  (%t) cannot be used in the template argument type of a variable template template instantiation
E2C	A type that is defined inside a class and has private or protected access (%t) cannot be used in the template argument type of a variable template instantiation, unless the class is local to a __device__ or __global__ function
E2D	A template that is defined inside a class and has private or protected access cannot be used in the template template argument of a variable template instantiation
E2E	An unnamed type (%t) cannot be used in the template argument type of a variable template template instantiation, unless the type is local to a __device__ or __global__ function
E2F	A %s variable template cannot have a const qualified type on Windows
E30	A __global__ function or function template cannot be defined in a friend declaration
E31	An operator function cannot be a __global__ function
E32	The operator '%s' is not allowed in device code
E33	Multiple %s specifiers are not allowed
E34	An exception specification is not allowed for a __global__ function or function template
E35	An inline __device__/__constant__/__managed__ variable must have internal linkage when the program is compiled in whole program mode (-rdc=false)
E36	the __shared__ memory space specifier is not allowed for a variable declared by the for-range-declaration
E37	
E38	
E39	
E3A	
E3B	unable to find __cudaPushCallConfiguration declaration. CUDA toolkit installation may be corrupt.
E3C	explicit stream argument not provided in kernel launch
E3D	unrecognized #pragma in device code
E3E	#pragma message: %sq
E3F	Universal character is not allowed in device entity name (%sq)
E40	__nv_register_params__ support is not enabled
E41	__nv_register_params__ is only supported for compute_80 or later architecture
E42	__nv_register_params__ is not allowed on a %s function
E43	__nv_register_params__ is not allowed on a function with ellipsis
E44	
E45	expected (global | shared | constant | local | generic | all) , unknown value for --nv-force-volatile flag: 
E46	'%s1' is treated as 'double' in device code
E47	%s1%sq2
E48	Asm operand modifier not supported at %sq, try removing modifier or escaping with %%
E49	zero-sized variable %sq is not allowed in device code
E4A	zero-sized parameter type %t is not allowed in device code
E4B	error in parsing __c11_atomic_* arguments
E4C	the first argument of this c11 atomic builtin must be a pointer to the _Atomic type
E4D	Byval trigger limit set lower than acceptable value
E4E	A function explicitly marked as a __host__ function is not allowed in JIT mode
E4F	A function without execution space annotations (__host__/__device__/__global__) is considered a host function, and host functions are not allowed in JIT mode. Consider using -default-device flag to process unannotated functions as __device__ functions in JIT mode
E50	A namespace scope variable without memory space annotations (__device__/__constant__/__shared__/__managed__) is considered a host variable, and host variables are not allowed in JIT mode. Consider using -default-device flag to process unannotated namespace scope variables as __device__ variables in JIT mode
E51	A class static data member with non-const type is considered a host variable, and host variables are not allowed in JIT mode. Consider using -default-device flag to process such data members as __device__ variables in JIT mode
E52	The execution space for the lambda closure class members was inferred to be __host__ (based on context). This is not allowed in JIT mode. Consider using -default-device to infer __device__ execution space for namespace scope lambda closure classes.
E53	Error in parsing name expression for lowered name lookup. Input name expression was: %sq
E54	Extra tokens found after parsing name expression for lowered name lookup. Input name expression was: %sq
E55	Internal error in parsing name expression for lowered name lookup. Input name expression was: %sq
E56	Name expression cannot form address of a non-__global__ function. Input name expression was: %sq
E57	Name expression cannot form address of a variable that is not a __device__/__constant__ variable. Input name expression was: %sq
E58	Name expression must form address of a __global__ function or the address of a __device__/__constant__ variable. Input name expression was: %sq
E59	alloca() is not supported for architectures lower than compute_52
E5A	%s arguments must be positive integers
E5B	cluster dimension value is too large
E5C	__cluster_dims__ is not supported for this GPU architecture
E5D	A __global__ function or function template cannot be a member function
E5E	For this host platform/dialect, an extended lambda cannot be defined inside the 'if' or 'else' block of a constexpr if statement
E5F	internal error: unable to find lambda sequence number in cache
E60	An extended %s lambda cannot first-capture variable in constexpr-if context
E61	128-bit integer type is only supported in Linux with the %sq flag in NVRTC
E62	
E63	operations on vector types are not supported in device code
E64	no __launch_bounds__ specified for __global__ function
E65	a parameter annotated with __grid_constant__ must have const-qualified type
E66	a parameter annotated with __grid_constant__ must not have reference type
E67	incompatible __grid_constant__ annotation for parameter %s in function redeclaration (see previous declaration %p)
